Title,Video ID,Published At
"ඔයා වාසනාවන්ත නම්, ඔයා දැකිය යුතු සමනලයා මොන පාටද? මේ වාසනාවන්ත සමනලයා ගෙනෙන විශ්ව පනිවිඩය මොකක්ද",YVbmHky2NqM,2023-12-29T12:30:29Z
2024 නව වසරේ ඔයාගේ සියලුම පැතුම් ඉටුකරගන්න ප්‍රබලම වෙලාවට විශ්වයට කරන්න ඕන ප්‍රාර්ථනාව මම කියන්නම්,Jl4QMC2OjBI,2023-12-28T12:30:19Z
"ඔබේ ලග්නයට අනුව විශ්වයෙන් ඔබට හිමි ඒන්ජල් Angel හඳුනාගෙන, ඔබේ ප්‍රර්ථනාව මේ විදිහට විශ්වයට කියන්න",qf5KbC8S0Sw,2023-12-13T13:00:51Z
12:12 මේ වසරේ අවසන් අවස්ථාව නව වසරේ ජීවිතය ජයගන්න දවසින් බලාපොරොත්තු  ඉටුවන මෙ ප්‍රාර්ථනාව කරමු,UWEs-dWllXA,2023-12-09T12:00:25Z
"ඔයාගේ හිතේ තියන හැමදෙයක්ම විශ්වයට කියන්න,දින 21න් යටි සිත අවදිකරන බයිනුරල් භාවනාවLaw of Attraction",qovbiiK3YY4,2023-12-07T13:20:31Z
සුපිරි බුද්ධිය 🍎මතකය සහ පාඩම් අවධානය වැඩි කර ඉහලම ලකුණු Super conscious connection Genius Brain Beat,HrTPV_x9M9A,2023-12-04T13:04:00Z
"ඔබේ ඉෂ්ට දෙවියන් සමඟ දැන්ම සම්බන්ධ වෙන්න ප්‍රබල රහස් 3ක්, ඔබේ බලාපොරොත්තු දැන්ම ලබාගන්න",K0MM_pj2tXY,2023-12-03T12:00:27Z
"❤️❤️ආදරය සොයන අයට, ආදරය අහිමි වෙලා ඉන්න අයට❤️❤️ #love #subliminal",PshRcyWDemY,2023-11-28T10:30:12Z
"ආදරය සොයන අය, ආදරය අහිමි වෙලා ඉන්න අය සදා නොවෙනස් ආදරයකට මේ භාවනාව දින 21 කරන්න Guided meditation",2QHagg2-bMU,2023-11-27T13:40:41Z
"විශ්වය ඔයාගේ බලාපොරොත්තුව ලබාදෙන අවස්ථා 3ක්, ඔයා මේවා මගහැරගන්න එපා warning!! Law of Attraction",lJVMtw4i5bY,2023-11-26T12:00:38Z
"දෙ අත්ලේ ඇඟිලි තුඩු වලින් ඔයාට ඕන දේ ආකර්ශණය කර ගන්නේ මෙහෙමයි, ආදරය, මුදල්, ලස්සන Hand Gestures.",CUFbCVUl3Cc,2023-11-24T12:47:10Z
🙏ලොතරැයි වාසනාව උදාකරන බයිනුරල් භාවනාව🙏🙏 #binauralmeditation #lawofattraction,i98v_jr6DQY,2023-11-20T12:30:33Z
"ඔයා කැමති ඕනම දෙයක් දවසින් ආකර්ශණය කරගන්න, මේ ප්‍රබල වචන පේලිය 28 වරක් කියන්න switch words method",e5w7F4aibm4,2023-11-19T13:03:22Z
"lotharai dinum දවසට මිනිත්තු 20ක්, මේ ප්‍රබල භාවනාව  කරන්න ඉක්මනින් දිනුමක් ගන්න  Low of Attraction",zsU4_GZLsxE,2023-11-18T02:30:23Z
"ඕනම පැතුමක් හිතේ තියාගෙන 28 වරක් මේක කරන්න, පැය 24න් සියලු පැතුම් නිසැකවම ඉටුවේවි Grabavoi codes",tUTZQt87HDI,2023-11-15T13:18:36Z
"❤️❤️දීප්තිමත්, ආකර්ශණීය නිල්වන් දැසක් ලබාගන්න #binauralmeditation #motivation #lawofattraction",HKAOh2GdMdI,2023-11-14T12:00:15Z
"ඔයා විශ්වයට කල ප්‍රාර්ථනාව ඉටුවන දිනයන්, තවම  ඉටුවුනේ නැත්නම් ඉක්මනින්  ඉටු කරගන්න මේ විදිහට කරන්න",Bs43alkDhYc,2023-11-13T11:00:14Z
"11:11 විශ්වයේ දොර විවෘතයි, ඉක්මනින් මේ දේවල් 5 දැනගන්න ඔයාගේ ප්‍රාර්ථනා ඉටුකර ගන්න තව පැය 30 යි",yx_mv96jsPc,2023-11-10T11:01:02Z
"ඔබට ජයගත නොහැකි අභියෝග ජය ගැනීමට, වාසනාව පිරැනු සෞභාග්‍යමත් ජීවිතයකට,  මිනිත්තු 10ක් ඇහැව්වත් ඇති",YubmsRh6_nE,2023-11-10T00:30:25Z
දවසින් ඔයාගේ සියලු බලාපොරොත්තු ඉටුකරගන්න 11-11 දින 11:11ට මේ ප්‍රර්ථනාව 11 වරක් කරමු.1111 portal,Kprtbh3IEAo,2023-11-07T12:07:48Z
"සැමදාම රෑට ඔයා මෙහෙම කිව්වොත්, ඔයාගේ බලාපොරොත්තුව දින 30න් ලැබෙනවාමයි Neville Goddard Technique",8M8zRtotKF0,2023-11-01T13:00:07Z
